Date, Name , Memo , Barclays 53895114 ,,,,,,,,,,,,,,,,,,,,,,,
16-Jan-23,FIRST4FREELANCERS LIMITED,FIRST4FREELANCERS     GUARDIANFM FT," 25,000.00 ",,,,,,,,,,,,,,,,,,,,,,,
21-Feb-23,FIRST4FREELANCERS LIMITED,FIRST4FREELANCERS     GUARDIANFM BBP," 31,137.07 ",,,,,,,,,,,,,,,,,,,,,,,
3-Apr-23,FIRST4FREELANCERS LIMITED,FIRST4FREELANCERS     GUARDIANFM FT," 25,000.00 ",,,,,,,,,,,,,,,,,,,,,,,
25-Apr-23,FIRST4FREELANCERS LIMITED,FIRST4FREELANCERS     GUARDIANFM FT," 8,410.16 ",,,,,,,,,,,,,,,,,,,,,,,
10-Mar-22,IMPAX SECURITY SERVICES LTD,IMPAX SECURITY SER    AS INVOICED BBP," 4,500.00 ",,,,,,,,,,,,,,,,,,,,,,,
24-Oct-22,IMPAX SECURITY SERVICES LTD,IMPAX SECURITY SER    AS INVOICED BBP," 16,575.31 ",,,,,,,,,,,,,,,,,,,,,,,
23-Nov-22,IMPAX SECURITY SERVICES LTD,IMPAX SECURITY SER    AS INVOICED BBP," 6,229.02 ",,,,,,,,,,,,,,,,,,,,,,,
25-Jan-23,IMPAX SECURITY SERVICES LTD,IMPAX SECURITY SER    AS INVOICED BBP," 4,389.25 ",,,,,,,,,,,,,,,,,,,,,,,
1-Mar-23,IMPAX SECURITY SERVICES LTD,IMPAX SECURITY SER    AS INVOICED BBP," 6,930.00 ",,,,,,,,,,,,,,,,,,,,,,,
3-Mar-23,IMPAX SECURITY SERVICES LTD,IMPAX SECURITY SER    AS INVOICED BBP," 1,195.80 ",,,,,,,,,,,,,,,,,,,,,,,
28-Dec-22,MA FACILITIES LIMITED,MA FACILITIES LIMI    AS INVOICED BBP," 1,858.00 ",,,,,,,,,,,,,,,,,,,,,,,
1-Mar-23,MA FACILITIES LIMITED,MA FACILITIES LIMI    AS INVOICED BBP," 5,471.00 ",,,,,,,,,,,,,,,,,,,,,,,
27-Jan-23,Man Guard Security Services Ltd,MANGUARD LTD          AS PER INVOICE FT," 1,140.00 ",,,,,,,,,,,,,,,,,,,,,,,
27-Mar-23,Man Guard Security Services Ltd,MANGUARD LTD          AS PER INVOICE BBP, 588.00 ,,,,,,,,,,,,,,,,,,,,,,,
28-Apr-23,MOXIE SECURITY LTD,MOXIE SECURITY LTD    INVOICED FT," 5,909.39 ",,,,,,,,,,,,,,,,,,,,,,,
10-Mar-22,MUGHAL MULTIPLE SERVICES LTD,MUGHAL MULTIPLE SE    INVOICE BBP," 1,506.00 ",,,,,,,,,,,,,,,,,,,,,,,
4-May-22,MUGHAL MULTIPLE SERVICES LTD,MUGHAL MULTIPLE SE    INVOICE BBP," 4,555.67 ",,,,,,,,,,,,,,,,,,,,,,,
5-May-22,MUGHAL MULTIPLE SERVICES LTD,MUGHAL MULTIPLE SE    INVOICE0025 BBP," 9,591.41 ",,,,,,,,,,,,,,,,,,,,,,,
20-Jul-22,MUGHAL MULTIPLE SERVICES LTD,MUGHAL MULTIPLE SE    INVOICE BBP," 18,394.00 ",,,,,,,,,,,,,,,,,,,,,,,
23-Nov-22,MUGHAL MULTIPLE SERVICES LTD,MUGHAL MULTIPLE SE    INVOICE BBP," 2,976.70 ",,,,,,,,,,,,,,,,,,,,,,,
25-Jan-23,MUGHAL MULTIPLE SERVICES LTD,MUGHAL MULTIPLE SE    AS INVOICED BBP," 2,500.00 ",,,,,,,,,,,,,,,,,,,,,,,
30-Jan-23,MUGHAL MULTIPLE SERVICES LTD,MUGHAL MULTIPLE SE    AS INVOICED BBP," 8,500.00 ",,,,,,,,,,,,,,,,,,,,,,,
6-Mar-23,MUGHAL MULTIPLE SERVICES LTD,MUGHAL MULTIPLE SE    AS INVOICED FT," 2,500.00 ",,,,,,,,,,,,,,,,,,,,,,,
26-Apr-23,MUGHAL MULTIPLE SERVICES LTD,MUGHAL MULTIPLE SE    AS INVOICED BBP," 5,000.00 ",,,,,,,,,,,,,,,,,,,,,,,
3-Feb-23,ORIGIN SECURITY LIMITED,ORIGINSECURITY LIM    AS PER INVOICE FT, 849.00 ,,,,,,,,,,,,,,,,,,,,,,,
6-Feb-23,ORIGIN SECURITY LIMITED,ORIGINSECURITY LIM    AS PER INVOICE FT," 4,900.00 ",,,,,,,,,,,,,,,,,,,,,,,
13-Feb-23,ORIGIN SECURITY LIMITED,ORIGINSECURITY LIM    AS PER INVOICE BBP," 15,000.00 ",,,,,,,,,,,,,,,,,,,,,,,
14-Feb-23,ORIGIN SECURITY LIMITED,ORIGINSECURITY LIM    AS PER INVOICE FT," 8,547.00 ",,,,,,,,,,,,,,,,,,,,,,,
10-Mar-23,ORIGIN SECURITY LIMITED,ORIGINSECURITY LIM    AS PER INVOICE BBP," 23,511.56 ",,,,,,,,,,,,,,,,,,,,,,,
11-Apr-23,ORIGIN SECURITY LIMITED,ORIGINSECURITY LIM    AS PER INVOICE BBP," 23,261.90 ",,,,,,,,,,,,,,,,,,,,,,,
11-Mar-22,PEACE UK SECURITY LTD,PEACE UK SECURITY     INVOICE            BBP," 2,550.00 ",,,,,,,,,,,,,,,,,,,,,,,
14-Mar-22,PEACE UK SECURITY LTD,PEACE UK SECURITY     INVOICE            BBP," 2,450.00 ",,,,,,,,,,,,,,,,,,,,,,,
19-Apr-22,PEACE UK SECURITY LTD,PEACE UK SECURITY     INVOICE            FT ," 4,799.00 ",,,,,,,,,,,,,,,,,,,,,,,
20-Jul-22,PEACE UK SECURITY LTD,PEACE UK SECURITY     INVOICE BBP," 3,560.00 ",,,,,,,,,,,,,,,,,,,,,,,
26-Aug-22,PEACE UK SECURITY LTD,PEACE UK SECURITY     INVOICE FT," 4,206.00 ",,,,,,,,,,,,,,,,,,,,,,,
23-Sep-22,PEACE UK SECURITY LTD,PEACE UK SECURITY     INVOICE BBP," 13,536.93 ",,,,,,,,,,,,,,,,,,,,,,,
26-Sep-22,PEACE UK SECURITY LTD,PEACE UK SECURITY     INVOICE FT," 13,536.93 ",,,,,,,,,,,,,,,,,,,,,,,
24-Oct-22,PEACE UK SECURITY LTD,PEACE UK SECURITY     INVOICE BBP," 7,676.57 ",,,,,,,,,,,,,,,,,,,,,,,
24-Nov-22,PEACE UK SECURITY LTD,PEACE UK SECURITY     INVOICE BBP," 12,391.40 ",,,,,,,,,,,,,,,,,,,,,,,
28-Dec-22,PEACE UK SECURITY LTD,PEACE UK SECURITY     INVOICE BBP," 9,419.17 ",,,,,,,,,,,,,,,,,,,,,,,
25-Jan-23,PEACE UK SECURITY LTD,PEACE UK SECURITY     INVOICE BBP," 18,375.00 ",,,,,,,,,,,,,,,,,,,,,,,
27-Jan-23,PEACE UK SECURITY LTD,PEACE UK SECURITY     INVOICE BBP," 1,545.00 ",,,,,,,,,,,,,,,,,,,,,,,
24-Feb-23,PEACE UK SECURITY LTD,PEACE UK SECURITY     INVOICE BBP," 14,126.96 ",,,,,,,,,,,,,,,,,,,,,,,
